time,TSKIN,BDOT
1000.0,242.04999999999998,0.19
1001.0,242.04999999999998,0.19
1002.0,242.04999999999998,0.19
1003.0,242.04999999999998,0.19
1004.0,242.04999999999998,0.19
1005.0,242.04999999999998,0.19
1006.0,242.04999999999998,0.19
1007.0,242.04999999999998,0.19
1008.0,242.04999999999998,0.19
1009.0,242.04999999999998,0.19
1010.0,242.04999999999998,0.19
1011.0,242.04999999999998,0.19
1012.0,242.04999999999998,0.19
1013.0,242.04999999999998,0.19
1014.0,242.04999999999998,0.19
1015.0,242.04999999999998,0.19
1016.0,242.04999999999998,0.19
1017.0,242.04999999999998,0.19
1018.0,242.04999999999998,0.19
1019.0,242.04999999999998,0.19
1020.0,242.04999999999998,0.19
1021.0,242.04999999999998,0.19
1022.0,242.04999999999998,0.19
1023.0,242.04999999999998,0.19
1024.0,242.04999999999998,0.19
1025.0,242.04999999999998,0.19
1026.0,242.04999999999998,0.19
1027.0,242.04999999999998,0.19
1028.0,242.04999999999998,0.19
1029.0,242.04999999999998,0.19
1030.0,242.04999999999998,0.19
1031.0,242.04999999999998,0.19
1032.0,242.04999999999998,0.19
1033.0,242.04999999999998,0.19
1034.0,242.04999999999998,0.19
1035.0,242.04999999999998,0.19
1036.0,242.04999999999998,0.19
1037.0,242.04999999999998,0.19
1038.0,242.04999999999998,0.19
1039.0,242.04999999999998,0.19
1040.0,242.04999999999998,0.19
1041.0,242.04999999999998,0.19
1042.0,242.04999999999998,0.19
1043.0,242.04999999999998,0.19
1044.0,242.04999999999998,0.19
1045.0,242.04999999999998,0.19
1046.0,242.04999999999998,0.19
1047.0,242.04999999999998,0.19
1048.0,242.04999999999998,0.19
1049.0,242.04999999999998,0.19
1050.0,242.04999999999998,0.19
1051.0,242.04999999999998,0.19
1052.0,242.04999999999998,0.19
1053.0,242.04999999999998,0.19
1054.0,242.04999999999998,0.19
1055.0,242.04999999999998,0.19
1056.0,242.04999999999998,0.19
1057.0,242.04999999999998,0.19
1058.0,242.04999999999998,0.19
1059.0,242.04999999999998,0.19
1060.0,242.04999999999998,0.19
1061.0,242.04999999999998,0.19
1062.0,242.04999999999998,0.19
1063.0,242.04999999999998,0.19
1064.0,242.04999999999998,0.19
1065.0,242.04999999999998,0.19
1066.0,242.04999999999998,0.19
1067.0,242.04999999999998,0.19
1068.0,242.04999999999998,0.19
1069.0,242.04999999999998,0.19
1070.0,242.04999999999998,0.19
1071.0,242.04999999999998,0.19
1072.0,242.04999999999998,0.19
1073.0,242.04999999999998,0.19
